DOID-ID	NAME
0060478	Zika fever
0060479	Shwachman-Diamond syndrome
0060480	left ventricular noncompaction
0060481	Goldberg-Shprintzen syndrome
0060482	oculoauricular syndrome
0060483	MEDNIK syndrome
0060484	EAST syndrome
0060485	Mowat-Wilson syndrome
0060486	Perry syndrome
0060488	Pitt-Hopkins syndrome
0060490	Schimke immuno-osseous dysplasia
0060491	SPOAN syndrome
0060492	chicken egg allergy
0060495	shellfish allergy
0060496	respiratory allergy
0060497	pollen allergy
0060498	Timothy grass allergy
0060499	autoimmune neuropathy
0060500	drug allergy
0060501	metal allergy
0060502	gastrointestinal allergy
0060503	fruit allergy
0060504	apple allergy
0060505	apricot allergy
0060506	cherry allergy
0060507	Indian plum allergy
0060508	orange allergy
0060509	melon allergy
0060510	peach allergy
0060511	plum allergy
0060512	tomato allergy
0060513	fish allergy
0060514	Atlantic cod allergy
0060515	Atlantic salmon allergy
0060516	carp allergy
0060517	zebrafish allergy
0060518	rainbow trout allergy
0060519	beta-lactam allergy
0060520	penicillin allergy
0060521	cow milk allergy
0060522	goat milk allergy
0060523	mollusc allergy
0060524	crustacean allergy
0060525	brown shrimp allergy
0060526	crab allergy
0060527	Indian prawn allergy
0060528	tiger prawn allergy
0060529	white shrimp allergy
0060530	snail allergy
0060531	horned turban snail allergy
0060532	latex allergy
0060534	hepatoid adenocarcinoma
0060535	Warsaw breakage syndrome
0060536	mitochondrial complex I deficiency
0060537	mitochondrial complex II deficiency
0060538	purpura fulminans
0060539	Hermansky-Pudlak syndrome 1
0060540	Hermansky-Pudlak syndrome 2
0060541	Hermansky-Pudlak syndrome 3
0060542	Hermansky-Pudlak syndrome 4
0060543	Hermansky-Pudlak syndrome 5
0060544	Hermansky-Pudlak syndrome 6
0060545	Hermansky-Pudlak syndrome 7
0060546	Hermansky-Pudlak syndrome 8
0060547	Hermansky-Pudlak syndrome 9
0060548	luminal breast carcinoma
0060549	Barber-Say syndrome
0060550	ablepharon macrostomia syndrome
0060551	poikiloderma with neutropenia
0060556	Kufor-Rakeb syndrome
0060557	ataxia with oculomotor apraxia type 3
0060558	lethal congenital contracture syndrome
0060559	lethal congenital contracture syndrome 1
0060560	lethal congenital contracture syndrome 2
0060562	anomalous left coronary artery from the pulmonary artery
0060563	Char syndrome
0060564	spinal disease
0060566	Holzgreve-Wagner-Rehder Syndrome
0060567	erythema elevatum diutinum
0060569	hypertrichotic osteochondrodysplasia Cantu type
0060570	cardiac tuberculosis
0060608	microcephalic osteodysplastic primordial dwarfism type I
0060609	microcephalic osteodysplastic primordial dwarfism type II
0060611	abdominal obesity-metabolic syndrome
0060668	anencephaly
0060671	cerebral cavernous malformation 3
0060858	hypotonia-cystinuria syndrome
0060861	microphthalmia with limb anomalies
0060862	mal de Meleda
0060886	osteopathia striata with cranial sclerosis
0060887	ossification of the posterior longitudinal ligament of spine
0060888	transient myeloproliferative syndrome
0060889	prune belly syndrome
0060890	ectopic Cushing syndrome
0060896	Parkinson&apos;s disease 23
0060897	Parkinson&apos;s disease 17
0060898	Parkinson&apos;s disease 20
0060900	Parkinson&apos;s disease 14
0060901	Waldenstroem&apos;s macroglobulinemia
0060902	Norman-Roberts syndrome
0060903	thrombosis
0060911	karyomegalic interstitial nephritis
0070000	3-methylglutaconic aciduria type 8
0070002	3-methylglutaconic aciduria type 9
0070313	thiamine deficiency disease
0070317	wet beriberi
0070318	dry beriberi
0070319	miliaria pustulosa
0070320	miliaria profunda
0070321	miliaria crystallina
0070322	pediatric hepatocellular carcinoma
0070323	childhood acute myeloid leukemia
0070324	systemic Epstein-Barr virus-positive T-cell lymphoma of childhood
0070325	malignant pediatric adrenal gland pheochromocytoma
0070326	spitzoid melanoma
0070327	melanoma in congenital melanocytic nevus
0070328	adult hepatocellular carcinoma
0070329	mitochondrial DNA depletion syndrome
0070330	multiple mitochondrial dysfunctions syndrome
0070331	mitochondrial DNA depletion syndrome 8b
0070332	multiple mitochondrial dysfunctions syndrome 6
0070333	breast implant-associated anaplastic large cell lymphoma
0070334	vegetable allergy
0070335	celery allergy
0070337	epithelial recurrent erosion dystrophy
0080108	myoglobinuria
0080109	infantile myofibromatosis
0080111	mitochondrial complex III deficiency nuclear type 1
0080112	mitochondrial complex III deficiency nuclear type 3
0080113	mitochondrial complex III deficiency nuclear type 4
