DescriptorUI	DescriptorName
D000001	Calcimycin
D000900	Anti-Bacterial Agents
D061207	Calcium Ionophores
D000002	Temefos
D007306	Insecticides
D000003	Abattoirs
D000004	Abbreviations as Topic
D000005	Abdomen
D000005	Abdomen
D000007	Abdominal Injuries
D000006	Abdomen, Acute
D000007	Abdominal Injuries
D000008	Abdominal Neoplasms
D000009	Abdominal Muscles
D034861	Abdominal Wall
D000010	Abducens Nerve
D000010	Abducens Nerve
D020222	Abducens Nerve Injury
D065827	Abducens Nucleus
D000011	Abelson murine leukemia virus
D000012	Abetalipoproteinemia
D000013	Congenital Abnormalities
D000013	Congenital Abnormalities
D000014	Abnormalities, Drug-Induced
D000014	Abnormalities, Drug-Induced
D013723	Teratogens
D064793	Teratogenesis
D000015	Abnormalities, Multiple
D008607	Intellectual Disability
D000016	Abnormalities, Radiation-Induced
D064793	Teratogenesis
D000017	ABO Blood-Group System
D000018	Abomasum
D000019	Abortifacient Agents
D010120	Oxytocics
D000020	Abortifacient Agents, Nonsteroidal
D000021	Abortifacient Agents, Steroidal
D000022	Abortion, Spontaneous
D000022	Abortion, Spontaneous
D000034	Abortion, Veterinary
D000019	Abortifacient Agents
D037881	Aborted Fetus
D000023	Abortion Applicants
D000024	Abortion, Criminal
D000025	Abortion, Eugenic
D000026	Abortion, Habitual
D005313	Fetal Death
D020964	Embryo Loss
D000027	Abortion, Incomplete
D000028	Abortion, Induced
D037881	Aborted Fetus
D000029	Abortion, Legal
D000030	Abortion, Missed
D000031	Abortion, Septic
D000032	Abortion, Therapeutic
D000033	Abortion, Threatened
D000034	Abortion, Veterinary
D000035	Abreaction
D000036	Abrin
D000037	Abruptio Placentae
D000038	Abscess
D004653	Empyema
D000039	Peritonsillar Abscess
D000040	Abscisic Acid
D010937	Plant Growth Regulators
D000041	Absenteeism
D000042	Absorption
D007408	Intestinal Absorption
D012869	Skin Absorption
D000043	Abstracting and Indexing
D000044	Dental Abutments
D000045	Acacia
D000046	Academic Medical Centers
D062606	Tertiary Care Centers
D000047	Academies and Institutes
D000048	Acanthamoeba
D000049	Acanthocephala
D000050	Acanthocytes
D000051	Acantholysis
D000052	Acanthosis Nigricans
D000053	Acari
D000054	Acceleration
D000055	Accessory Nerve
D000055	Accessory Nerve
D061227	Accessory Nerve Injuries
D000056	Accident Prevention
D011482	Protective Devices
D000057	Accident Proneness
D000058	Accidental Falls
D000059	Accidents
D000059	Accidents
D000056	Accident Prevention
D000060	Accidents, Aviation
D000061	Accidents, Home
D000062	Accidents, Occupational
D009784	Occupational Diseases
D060051	Occupational Injuries
D000063	Accidents, Traffic
D012622	Seat Belts
D017278	Air Bags
D000064	Acclimatization
D000065	Accommodation, Ocular
D000066	Accounting
D000066	Oil and Gas Industry
D005579	Fossil Fuels
D010578	Petroleum
D059206	Natural Gas
D000066	Coal Industry
D005579	Fossil Fuels
D000066	Driving Under the Influence
D000066	Human Embryonic Stem Cells
D000066	Mouse Embryonic Stem Cells
D000066	Embryonic Germ Cells
D000066	Work Performance
D017132	Workplace
D000066	Criminal Behavior
D003415	Crime
D003417	Criminal Psychology
D057237	Criminals
D000066	Clinical Decision-Making
D000080	Relational Autonomy
D003661	Decision Support Techniques
D020000	Decision Support Systems, Clinical
D000066	Cognitive Aging
D003072	Cognition Disorders
D000066	Cognitive Neuroscience
D000066	Emotional Adjustment
D000275	Adjustment Disorders
D012917	Social Adjustment
D000066	Facial Recognition
D000066	Grandparents
D005190	Family
D000066	Help-Seeking Behavior
D000066	Heuristics
D000067	Computer Heuristics
D001185	Artificial Intelligence
D000066	Intimate Partner Violence
D012742	Sex Offenses
D000066	Neurological Rehabilitation
D000066	Physical Abuse
D000066	Problem Behavior
D019958	Attention Deficit and Disruptive Behavior Disorders
D000066	Underage Drinking
D000067	Alcohol Drinking in College
D000066	Ectopic Gene Expression
D000066	Cell Plasticity
D009473	Neuronal Plasticity
D000066	Cell Self Renewal
D013234	Stem Cells
D000066	Rehabilitation Research
D006233	Disabled Persons
D000066	Orthodontists
D000066	Oral and Maxillofacial Surgeons
D000066	Neuroprotection
D000066	Diet, Food, and Nutrition
D000066	Triticale
D000066	Critical Care Outcomes
D000066	Simulation Training
D000066	Millets
D000066	Biobehavioral Sciences
D058025	Interdisciplinary Studies
D000066	Protein Corona
D000066	Vegetarians
D014676	Diet, Vegetarian
D000066	Vegans
D000067	Diet, Vegan
D000067	Accounts Payable and Receivable
D000067	Youth Sports
D000067	Literacy
D006236	Handwriting
D011932	Reading
D014956	Writing
D057220	Health Literacy
D000067	Severe Acute Malnutrition
D000067	Banking, Personal
D020402	Medical Savings Accounts
D000067	Evidence-Based Facility Design
D000067	Physical Appearance, Body
D001828	Body Image
D000067	Fruit and Vegetable Juices
D000067	Ghee
D000067	Hydraulic Fracking
D000067	Psychological Trauma
D013313	Stress Disorders, Post-Traumatic
D000067	Peer Influence
D000067	Vegetable Products
D000067	Direct-to-Consumer Advertising
D000067	Direct-To-Consumer Screening and Testing
D059026	Diagnostic Self Evaluation
D000067	Extracellular Vesicles
D000067	Fungal Viruses
D000067	Telocytes
D056885	Interstitial Cells of Cajal
D000067	Exoskeleton Device
D012371	Robotics
D000067	Shellfish Hypersensitivity
D057096	Shellfish Poisoning
D000067	Failure to Rescue, Health Care
D000067	Psychiatric Rehabilitation
D000067	Symptom Flare Up
D000067	Isolated Heart Preparation
D015428	Myocardial Reperfusion Injury
D000067	Diet, Vegan
D000066	Vegans
D000067	Behavior Observation Techniques
D000067	Behavior Rating Scale
D000067	Alcohol Drinking in College
D000066	Underage Drinking
D000067	Obesity, Metabolically Benign
D000067	Whole Grains
D000067	Transanal Endoscopic Surgery
D000067	Transanal Endoscopic Microsurgery
D000067	Cold Injury
D000067	Personal Protective Equipment
D000067	Nerve Agents
D000067	War-Related Injuries
D013313	Stress Disorders, Post-Traumatic
D000067	Abnormal Involuntary Movement Scale
D000067	Blood Alcohol Content
D000066	Driving Under the Influence
D000437	Alcoholism
D000067	Social Communication Disorder
D000067	Legal Services
D000067	Defamation
D007603	Jurisprudence
D000067	Anger Management Therapy
D000067	Psychology, Sports
D013178	Sports Medicine
D000067	War Exposure
D058014	Veterans Health
D000067	Childhood-Onset Fluency Disorder
D000067	No-Show Patients
D010352	Patient Dropouts
D000067	Cellular Reprogramming Techniques
