HPO-ID	DATABASE-NAME	EXTERNAL-ID	EXTERNAL-NAME
HP:0000001	UMLS	C0444868	{'All', 'all', 'ALL'}
HP:0000002	UMLS	C4025901	{'Abnormality of body height'}
HP:0001507	UMLS	C0262361	{'Abnormal growth', 'abnormal growth', 'Growth abnormality', 'abnormal growths', 'Growth issue', 'ABNORMAL GROWTH'}
HP:0000003	MSH	D021782	Multicystic Dysplastic Kidney
HP:0000003	SNOMEDCT_US	204962002	Multicystic kidney
HP:0000003	SNOMEDCT_US	82525005	Congenital cystic kidney disease
HP:0000003	UMLS	C3714581	{'multicystic kidney', 'Multicystic dysplastic kidneys', 'Kidney Dysplasias, Multicystic', 'Multicystic dysplastic kidney', 'Multicystic renal dysplasia', 'Dysplasias, Multicystic Renal', 'Kidney Dysplasia, Multicystic', 'Multicystic Kidney Dysplasia', 'Dysplasia, Multicystic Kidney', 'Dysplasia, Multicystic Renal', 'Multicystic kidneys', 'multicystic kidneys', 'Renal Dysplasia, Multicystic', 'Multicystic Dysplastic Kidney', 'multicystic renal dysplasia', 'Multicystic Kidney Dysplasias', 'Renal Dysplasias, Multicystic', 'multicystic dysplastic kidneys', 'Multicystic Renal Dysplasias', 'Multicystic Kidneys', 'Multicystic kidney', 'Multicystic Kidney', 'multicystic kidney dysplasia', 'Multicystic Renal Dysplasia', 'Dysplasias, Multicystic Kidney', 'Multicystic kidney dysplasia', 'multicystic dysplastic kidney', 'Multicystic Dysplastic Kidneys'}
HP:0000107	MSH	D052177	Kidney Diseases, Cystic
HP:0000107	UMLS	C0022679	{'Kidneys, Cystic', 'Cystic Kidney', 'cystic kidney', 'Kidney, Cystic', 'cystic kidneys', 'cystic kidney disease', 'Cystic kidney disease', 'cystic diseases kidney', 'cystic diseases renal', 'Cystic Kidneys', 'kidney cystic', 'Cystic kidneys', 'renal cystic disease', 'Cystic kidney'}
HP:0000107	UMLS	C3887499	{'kidney cyst', 'RENAL CYST', 'renal cyst', 'Kidney Cyst', 'Renal cyst', 'Kidney Cysts', 'Renal cysts', 'Kidney cyst', 'KIDNEY CYST', 'Cyst of the Kidney', 'Cyst of Kidney', 'cyst of kidney', 'Renal Cyst'}
HP:0000005	UMLS	C1708511	{'Inheritance Mode', 'Mode of Inheritance', 'Inheritance', 'Mode of inheritance', 'mode of inheritance'}
HP:0000006	SNOMEDCT_US	263681008	Autosomal dominant inheritance
HP:0000006	UMLS	C0443147	{'autosomal dominant inheritance', 'Autosomal dominant inheritance', 'autosomal dominant', 'Autosomal dominant form', 'Autosomal dominant type', 'Autosomal dominant', 'Autosomal Dominant Inheritance'}
HP:0000007	SNOMEDCT_US	258211005	Autosomal recessive inheritance
HP:0000007	UMLS	C0441748	{'autosomal recessives', 'Autosomal Recessive Inheritance', 'Autosomal recessive.', 'recessive autosomal inheritance', 'autosomal inheritance recessive', 'Autosomal recessive', 'autosomal recessive', 'Autosomal recessive inheritance', 'Autosomal recessive form', 'autosomal recessive inheritance'}
HP:0000007	UMLS	C4020899	{'Autosomal recessive predisposition'}
HP:0000008	UMLS	C4025900	{'Abnormality of female internal genitalia'}
HP:0000812	UMLS	C4025824	{'Abnormal internal genitalia'}
HP:0010460	UMLS	C4023820	{'Abnormality of the female genitalia'}
HP:0000009	UMLS	C3806583	{'Functional abnormality of the bladder', 'Poor bladder function'}
HP:0000014	UMLS	C0149632	{'Abnormality of the bladder', 'BLADDER ABNORMALITIES', 'BLADDER ABNORMALITY', 'Bladder abnormalities'}
HP:0000010	SNOMEDCT_US	197927001	Recurrent urinary tract infection
HP:0000010	UMLS	C0262655	{'Recurrent urinary tract infection', 'URINARY TRACT INFECTION RECURRENT', 'URINARY TRACT INFECTIONS RECURRENT', 'Frequent urinary tract infections', 'Recurrent UTIs', 'RECURRENT URINARY INFECTIONS', 'RECURRENT UTI', 'Urinary infection', 'Urinary tract infections, recurrent', 'Urinary tract infections', 'Urinary tract infection', 'Recurrent urinary tract infections', 'recurrent uti'}
HP:0002719	UMLS	C0239998	{'Frequent infections', 'recurrent infection', 'infections recurrent', 'Frequent, severe infections', 'Recurrent infections', 'infections, recurrent', 'INFECTION, RECURRENT', 'Predisposition to infections', 'infection recurrent', 'Increased frequency of infection'}
HP:0011277	UMLS	C4023437	{'Abnormality of the urinary system physiology'}
HP:0000011	MSH	D001750	Urinary Bladder, Neurogenic
HP:0000011	SNOMEDCT_US	397732007	Neurogenic dysfunction of the urinary bladder (finding)
HP:0000011	SNOMEDCT_US	398064005	Neurogenic bladder (finding)
HP:0000011	UMLS	C0005697	{'BLADDER NEUROGENIC', 'Neurogenic bladder NOS', 'BLADDER DIS NEUROGENIC', 'URINARY BLADDER DIS NEUROGENIC', 'Urinary Bladder Neurogenic Dysfunction', 'NEUROGENIC BLADDER DIS', 'neurogenic urinary bladder disorder', 'Neurogenic Bladder', 'Neurogenic bladder', 'Bladder Disorder, Neurogenic', 'Urinary Bladder, Neurogenic', 'NEUROGENIC BLADDER', 'neuropathic bladder', 'Lack of bladder control due to nervous system injury', 'Neurogenic Urinary Bladder Disorder', 'Neurogenic Dysfunction of the Urinary Bladder', 'Neurogenic Urinary Bladder', 'bladder neurogenic', 'neurogenic bladder', 'Neuropathic Bladder', 'Neurogenic Bladder Disorders', 'NEUROGENIC URINARY BLADDER DIS', 'Neurogenic Bladder Disorder', 'Bladder, Neurogenic', 'Urinary Bladder Disorder, Neurogenic'}
HP:0000012	SNOMEDCT_US	75088002	Urinary urgency
HP:0000012	UMLS	C0085606	{'urinary urgency', 'gyakori/surgeto vizeles', 'Urinary Urgency', 'Minzione frequente/imperiosa', 'MIKZIO SARRIA/LARRIALDI MIKZIONALA', 'HYPPIG VANNLATN/OKT VANNLATN-TRANG r35', 'TIHENTYNYT VIRTSAAMISTARVE/POLLAKISURIA', 'Frequente mictie/aandrang', 'dxifut/tkifut behashtana', 'Urinary urgency', 'Micturation Urgency', 'Miction frequente/imperieuse', 'urgent urination', 'Frequencia/urgencia miccional', 'URINATION URGENCY OF', 'Hyppig vandlad/imper vandl trang', 'urgency urination', 'MICTRUITION URGENT', 'urgency urinary', 'URINARY URGENCY/FREQUENCY', 'urination urgency', 'URGENCY URINATION', 'Urination Urgency', 'Frequent/urgent urination', 'TATA URINTRANGNINGAR/POLLAKISURI', 'URINARY URGENCY', 'Miccion imperiosa/frecuente', 'Urgency of micturition', 'Urgency of urination', 'haeufiges/dringliches Wasserlassen'}
HP:0000012	UMLS	C3544092	{'Urgency frequency syndrome'}
HP:0000012	UMLS	C4020898	{'Overactive bladder syndrome'}
HP:0000013	SNOMEDCT_US	35850006	Infantile uterus
HP:0000013	UMLS	C0266399	{'Hypoplasia of uterus', 'Hypoplasia of the uterus', 'Underdeveloped uterus', 'pubescent uterus', 'Uterine hypoplasia', 'infantile uterus', 'Small uterus', 'Hypoplastic uterus', 'Infantile uterus', 'Rudimentary uterus'}
HP:0008684	UMLS	C4024640	{'Absent/small uterus', 'Aplasia/hypoplasia of the uterus', 'Absent/underdeveloped uterus'}
HP:0010936	UMLS	C4023640	{'Abnormality of the lower urinary tract'}
HP:0000015	MSH	C562406	None
HP:0000015	SNOMEDCT_US	197866008	Diverticulum of bladder
HP:0000015	UMLS	C0156273	{'BLADDER DIVERTICULUM', 'BLADDER, DIVERTICULUM', 'Diverticulum of bladder', 'Bladder diverticulum', 'diverticulum of bladder', 'bladder diverticulum', 'diverticulum bladder', 'of bladder diverticulum', 'Bladder diverticula', 'Bladder Diverticulum'}
HP:0000016	MSH	D016055	Urinary Retention
HP:0000016	SNOMEDCT_US	130951007	Urinary retention
HP:0000016	SNOMEDCT_US	267064002	Retention of urine
HP:0000016	SNOMEDCT_US	449491000124101	None
HP:0000016	UMLS	C0080274	{'inability to empty bladder', 'Retention urine NOS', 'unable to empty bladder', 'urine retention', 'Retention of urine', 'retention of urine', 'Retention, Urinary', 'BLADDER RETENTION', 'bladder urine retention', 'Bladder Distention', 'URINARY RETENTION', 'RETENTION URINARY', 'Urinary Retention', 'bladder retention', 'Retention of urine, unspecified', 'urinary retention', 'BLADDER INABILITY TO EMPTY', 'Urine Retention', 'Urinary retention', 'Increased post-void residual urine volume', 'URINE RETENTION'}
HP:0000017	MSH	D053158	Nocturia
HP:0000017	SNOMEDCT_US	139394000	Nocturia
HP:0000017	UMLS	C0028734	{'nocturnal frequency', 'nycturia', 'NOCTURIA', 'Nocturia', 'Nycturia', 'nocturia'}
HP:0000019	SNOMEDCT_US	5972002	Urinary hesitancy
HP:0000019	UMLS	C0152032	{'Urinary hesitation', 'hesitancy', 'hesitancy urination', 'HESITANCY URINATION', 'Urinary hesitancy', 'urine hesitancy', 'Hesitancy', 'Difficulty with flow', 'urination hesitancy', 'Urinary Hesitancy', 'HESITANCY', 'URINARY HESITANCY', 'urinary hesitancy'}
HP:0000020	MSH	D014549	Urinary Incontinence
HP:0000020	SNOMEDCT_US	165232002	Bladder: incontinent
HP:0000020	UMLS	C0042024	{'incontinent bladder', 'urinary incontinence', 'Enuresis', 'bladder control loss', 'weak bladder', 'urine leaking', 'URINATION INVOLUNTARY', 'loss of bladder control', 'Incontinence, Urinary', 'bladder incontinence', 'BLADDER INCONTINENCE', 'Urinary incontinence NOS', 'leaking urine', 'Loss of bladder control', 'INCONTINENCE URINARY', 'URINARY INCONTINENCE', 'Urinary incontinence', 'URINE INCONTINENCE', 'urine leak', 'Urinary incontinence, unspecified', 'Bladder incontinence', 'involuntary urination', 'URINARY BLADDER INCONTINENCE', 'urinary incontinences', 'urine incontinence', 'Urinary Incontinence', 'bladder incontinent', 'Urine Incontinence', 'urine incontinent'}
HP:0000021	MSH	C536139	None
HP:0000021	UMLS	C1855311	{'Megacystis'}
HP:0010955	UMLS	C0549253	{'Dilatation of the bladder', 'Bladder dilatation'}
HP:0000022	UMLS	C4025899	{'Abnormality of male internal genitalia'}
HP:0010461	UMLS	C4023819	{'Abnormality of the male genitalia', 'Abnormal male genitals'}
HP:0000023	MEDDRA	10022016	None
HP:0000023	MSH	D006552	Hernia, Inguinal
HP:0000023	SNOMEDCT_US	396232000	Inguinal hernia (disorder)
